模型,short_multiplier,long_leverage,short_leverage,累计收益,年化收益,Sharpe,最大回撤,胜率
XGBoost,3.0,3.0,1.0,0.2358,0.1773,1.8365,-0.0264,0.0647
XGBoost,2.5,3.0,1.0,0.2358,0.1773,1.8365,-0.0264,0.0647
XGBoost,2.5,2.5,1.0,0.1999,0.1523,1.773,-0.0247,0.0647
XGBoost,3.0,2.5,1.0,0.1999,0.1523,1.773,-0.0247,0.0647
XGBoost,2.5,2.0,1.0,0.1648,0.1273,1.6728,-0.023,0.0647
XGBoost,3.0,2.0,1.0,0.1648,0.1273,1.6728,-0.023,0.0647
XGBoost,3.0,3.0,1.5,0.2538,0.1909,1.6728,-0.0345,0.0647
XGBoost,2.5,3.0,1.5,0.2538,0.1909,1.6728,-0.0345,0.0647
Ridge,3.0,2.0,1.0,0.1814,0.1397,1.5964,-0.04,0.1133
Ridge,3.0,3.0,1.5,0.2796,0.2096,1.5964,-0.0597,0.1133
Ridge,3.0,2.5,1.5,0.2563,0.1934,1.5946,-0.055,0.1133
Ridge,3.0,1.5,1.0,0.1592,0.1235,1.5878,-0.0353,0.1133
Ridge,3.0,3.0,2.0,0.334,0.247,1.5878,-0.0699,0.1133
Ridge,3.0,2.5,1.0,0.2036,0.156,1.5807,-0.0448,0.1133
Ridge,3.0,2.0,1.5,0.233,0.1771,1.5758,-0.0503,0.1133
XGBoost,2.5,2.5,1.5,0.2173,0.1659,1.5757,-0.0354,0.0647
XGBoost,3.0,2.5,1.5,0.2173,0.1659,1.5757,-0.0354,0.0647
Ridge,3.0,2.5,2.0,0.3096,0.2307,1.5676,-0.0653,0.1133
Ridge,3.0,3.0,2.5,0.389,0.2844,1.5618,-0.0801,0.1133
Ridge,3.0,3.0,1.0,0.226,0.1722,1.5543,-0.0495,0.1133
Ridge,3.0,1.5,1.5,0.2099,0.1609,1.5321,-0.0456,0.1133
Ridge,3.0,2.0,2.0,0.2854,0.2145,1.5321,-0.0606,0.1133
Ridge,3.0,3.0,3.0,0.4446,0.3217,1.5321,-0.0904,0.1133
Ridge,3.0,2.5,2.5,0.3637,0.2681,1.5321,-0.0755,0.1133
Ridge,3.0,1.0,1.0,0.1371,0.1072,1.5321,-0.0305,0.1133
XGBoost,3.0,1.5,1.0,0.1304,0.1023,1.5152,-0.0248,0.0647
XGBoost,2.5,1.5,1.0,0.1304,0.1023,1.5152,-0.0248,0.0647
XGBoost,2.5,3.0,2.0,0.2709,0.2045,1.5152,-0.0501,0.0647
XGBoost,3.0,3.0,2.0,0.2709,0.2045,1.5152,-0.0501,0.0647
Ridge,3.0,2.5,3.0,0.4183,0.3055,1.4982,-0.0858,0.1133
Ridge,3.0,2.0,2.5,0.3384,0.2519,1.4903,-0.071,0.1133
Ridge,3.0,1.5,2.0,0.2613,0.1982,1.4778,-0.056,0.1133
Ridge,3.0,1.0,1.5,0.1868,0.1446,1.4549,-0.0409,0.1133
Ridge,3.0,2.0,3.0,0.392,0.2892,1.4549,-0.0813,0.1133
XGBoost,2.5,2.0,1.5,0.1817,0.1409,1.4455,-0.0393,0.0647
XGBoost,3.0,2.0,1.5,0.1817,0.1409,1.4455,-0.0393,0.0647
Ridge,3.0,1.5,2.5,0.3133,0.2356,1.4349,-0.0663,0.1133
XGBoost,3.0,2.5,2.0,0.234,0.1795,1.4068,-0.0539,0.0647
XGBoost,2.5,2.5,2.0,0.234,0.1795,1.4068,-0.0539,0.0647
Ridge,3.0,1.0,2.0,0.2373,0.182,1.4018,-0.0513,0.1133
Ridge,3.0,1.5,3.0,0.3659,0.273,1.4018,-0.0767,0.1133
XGBoost,2.5,3.0,2.5,0.2871,0.2181,1.3823,-0.0684,0.0647
XGBoost,3.0,3.0,2.5,0.2871,0.2181,1.3823,-0.0684,0.0647
Ridge,3.0,1.0,2.5,0.2883,0.2194,1.365,-0.0617,0.1133
Ridge,3.0,1.0,3.0,0.3399,0.2567,1.3384,-0.0722,0.1133
XGBoost,2.5,2.5,2.5,0.2497,0.1931,1.2743,-0.0722,0.0647
XGBoost,3.0,1.5,1.5,0.1469,0.1158,1.2743,-0.0433,0.0647
XGBoost,2.5,3.0,3.0,0.3025,0.2317,1.2743,-0.0866,0.0647
XGBoost,3.0,1.0,1.0,0.0969,0.0772,1.2743,-0.0288,0.0647
XGBoost,2.5,2.0,2.0,0.1978,0.1545,1.2743,-0.0577,0.0647
XGBoost,3.0,3.0,3.0,0.3025,0.2317,1.2743,-0.0866,0.0647
XGBoost,2.5,1.0,1.0,0.0969,0.0772,1.2743,-0.0288,0.0647
XGBoost,3.0,2.5,2.5,0.2497,0.1931,1.2743,-0.0722,0.0647
XGBoost,2.5,1.5,1.5,0.1469,0.1158,1.2743,-0.0433,0.0647
XGBoost,3.0,2.0,2.0,0.1978,0.1545,1.2743,-0.0577,0.0647
XGBoost,3.0,2.5,3.0,0.2646,0.2067,1.1714,-0.0903,0.0647
XGBoost,2.5,2.5,3.0,0.2646,0.2067,1.1714,-0.0903,0.0647
XGBoost,2.5,2.0,2.5,0.2131,0.1681,1.1494,-0.0759,0.0647
XGBoost,3.0,2.0,2.5,0.2131,0.1681,1.1494,-0.0759,0.0647
XGBoost,3.0,1.5,2.0,0.1625,0.1294,1.1156,-0.0616,0.0647
XGBoost,2.5,1.5,2.0,0.1625,0.1294,1.1156,-0.0616,0.0647
Ridge,2.5,3.0,1.0,0.1613,0.129,1.0747,-0.0773,0.1553
XGBoost,2.5,2.0,3.0,0.2275,0.1817,1.0568,-0.0939,0.0647
XGBoost,3.0,1.0,1.5,0.1128,0.0908,1.0568,-0.0472,0.0647
XGBoost,3.0,2.0,3.0,0.2275,0.1817,1.0568,-0.0939,0.0647
XGBoost,2.5,1.0,1.5,0.1128,0.0908,1.0568,-0.0472,0.0647
Ridge,2.5,2.5,1.0,0.1401,0.1128,1.0352,-0.0746,0.1553
XGBoost,2.5,1.5,2.5,0.1774,0.143,1.0077,-0.0797,0.0647
XGBoost,3.0,1.5,2.5,0.1774,0.143,1.0077,-0.0797,0.0647
Ridge,2.5,3.0,1.5,0.1784,0.1448,0.9758,-0.1065,0.1553
Ridge,2.5,2.0,1.0,0.119,0.0965,0.9758,-0.0719,0.1553
XGBoost,2.5,1.0,2.0,0.128,0.1044,0.9307,-0.0654,0.0647
XGBoost,3.0,1.0,2.0,0.128,0.1044,0.9307,-0.0654,0.0647
XGBoost,3.0,1.5,3.0,0.1914,0.1566,0.9307,-0.0977,0.0647
XGBoost,2.5,1.5,3.0,0.1914,0.1566,0.9307,-0.0977,0.0647
Ridge,2.5,2.5,1.5,0.157,0.1286,0.9211,-0.1039,0.1553
