,沪深300,,,,,,,,沪深300期货
,000300.SH,,,,,,,,IF.CFE
日期,"成交额
[单位]亿元","总市值2
[单位]亿元",市盈率PE(TTM),"MACD指数平滑移动平均
[MACD指标选项]MACD
[周期数]9
[短期周期数]12
[长期周期数]26",换手率(基准.流通市值),收盘价,,日期,基差(股指期货)
Date,amt,mkt_cap_ard,pe_ttm,MACD,dq_amtturnover,close,,Date,anal_basis_stkidx
2026-05-26,,689784.8035,14.6389,-22.3893,,4921.5974,,2026-05-26,68.9974
2026-05-25,8611.7942,689784.8035,14.6389,-22.3893,1.6215,4921.5974,,2026-05-25,68.9974
2026-05-22,7718.2330,682568.4991,14.4857,-33.3590,1.4688,4845.0956,,2026-05-22,56.8956
2026-05-21,8919.3635,678311.6728,14.3954,-34.1773,1.7103,4783.0976,,2026-05-21,40.0976
2026-05-20,7296.5333,686736.7215,14.5742,-21.8059,1.3812,4850.7000,,2026-05-20,44.1000
2026-05-19,7124.0105,689548.9066,14.6339,-15.9412,1.3423,4852.8832,,2026-05-19,39.6832
2026-05-18,7334.5282,685777.7610,14.5538,-7.7057,1.3893,4833.5237,,2026-05-18,31.5237
2026-05-15,8876.8743,688236.2994,14.6060,7.9523,1.6745,4859.5927,,2026-05-15,35.5927
2026-05-14,8574.4633,693865.8781,14.7255,24.8642,1.6022,4914.5971,,2026-05-14,30.1971
2026-05-13,8231.7320,702035.1981,14.8989,36.4987,1.5173,4998.3417,,2026-05-13,29.5417
2026-05-12,8193.5144,698624.4912,14.8265,32.9783,1.5200,4948.0465,,2026-05-12,36.4465
2026-05-11,9044.7932,699961.9532,14.8549,33.0013,1.6747,4951.8366,,2026-05-11,39.2366
2026-05-08,7165.4610,692938.5494,14.7058,27.7820,1.3427,4871.9122,,2026-05-08,35.1122
2026-05-07,7872.3620,695856.1430,14.7677,31.8027,1.4684,4900.5098,,2026-05-07,38.1098
2026-05-06,8817.4431,696747.3286,14.7866,28.2311,1.6454,4877.0932,,2026-05-06,37.6932
2026-04-30,7266.6537,691943.2161,14.6355,23.5527,1.3688,4807.3069,,2026-04-30,43.9069
2026-04-29,6810.2051,692518.2379,14.7094,27.0449,1.2795,4810.3468,,2026-04-29,44.3468
2026-04-28,6315.2166,687696.3947,14.6106,28.5365,1.1950,4758.2083,,2026-04-28,55.8083
2026-04-27,6489.0481,686640.5120,14.5416,38.0461,1.2282,4770.9469,,2026-04-27,55.3469
2026-04-24,6800.9783,686876.1937,14.5458,46.4451,1.2862,4769.3688,,2026-04-24,55.7688
2026-04-23,6938.5378,688104.7965,14.6039,55.4236,1.3089,4786.3273,,2026-04-23,61.9273
2026-04-22,6195.0567,687917.8018,14.6095,60.9697,1.1689,4799.6270,,2026-04-22,54.8270
